latitude,longitude,year,avg_rainfall,max_rainfall,avg_temperature,max_temperature
23.0,60.0,2020,0.09685714285714286,5.06,27.974489795918366,31.83
23.0,60.0,2021,0.09717808219178081,6.29,27.292246575342467,32.76
23.0,60.0,2022,0.1646027397260274,6.38,27.420794520547947,31.94
23.0,60.0,2023,0.31065934065934064,12.43,23.979340659340657,26.83
23.0,60.625,2020,0.1643265306122449,8.15,27.416204081632653,30.44
23.0,60.625,2021,0.07704109589041096,3.37,26.439479452054794,31.06
23.0,60.625,2022,0.1312876712328767,5.2,26.68553424657534,30.94
23.0,60.625,2023,0.18153846153846154,4.76,23.798901098901098,26.51
23.0,61.25,2020,0.1833469387755102,7.58,27.53322448979592,30.64
23.0,61.25,2021,0.07624657534246575,3.37,26.20523287671233,30.29
23.0,61.25,2022,0.14068493150684933,5.39,26.608465753424657,30.51
23.0,61.25,2023,0.15406593406593405,4.0,23.633296703296704,26.2
23.0,61.875,2020,0.20530612244897958,6.75,27.742857142857144,30.65
23.0,61.875,2021,0.09178082191780822,4.8,26.181698630136985,29.93
23.0,61.875,2022,0.1553150684931507,5.94,26.54591780821918,30.19
23.0,61.875,2023,0.13021978021978023,2.24,23.531208791208794,26.11
23.0,62.5,2020,0.34424489795918367,16.31,27.83461224489796,30.86
23.0,62.5,2021,0.13106849315068494,9.22,26.23682191780822,30.38
23.0,62.5,2022,0.263972602739726,15.66,26.52090410958904,29.92
23.0,62.5,2023,0.10516483516483517,1.49,23.537252747252747,26.2
23.0,63.125,2020,0.513265306122449,19.98,27.883632653061223,30.91
23.0,63.125,2021,0.21397260273972601,25.13,26.291013698630135,30.03
23.0,63.125,2022,0.47728767123287674,32.65,26.573534246575342,29.86
23.0,63.125,2023,0.08428571428571428,1.58,23.574395604395605,26.43
23.0,63.75,2020,0.6905714285714286,23.24,27.940979591836733,31.03
23.0,63.75,2021,0.2821917808219178,32.89,26.32695890410959,30.01
23.0,63.75,2022,0.6913698630136986,40.11,26.627999999999997,29.89
23.0,63.75,2023,0.07637362637362638,1.19,23.52120879120879,26.34
23.0,64.375,2020,1.172530612244898,47.43,28.03065306122449,31.0
23.0,64.375,2021,0.4155890410958904,13.74,26.375095890410957,30.11
23.0,64.375,2022,0.9933424657534247,46.33,26.66923287671233,30.05
23.0,64.375,2023,0.06252747252747252,0.88,23.43912087912088,26.19
23.0,65.0,2020,1.5093061224489794,63.17,28.111836734693878,31.1
23.0,65.0,2021,0.5530136986301369,23.68,26.437945205479455,30.09
23.0,65.0,2022,1.1477534246575343,48.62,26.702712328767124,30.02
23.0,65.0,2023,0.05285714285714285,0.8,23.444175824175826,26.18
23.0,65.625,2020,2.963877551020408,166.79,28.174612244897958,31.2
23.0,65.625,2021,1.0207123287671234,55.44,26.502657534246573,30.14
23.0,65.625,2022,1.631917808219178,65.36,26.726849315068492,29.99
23.0,65.625,2023,0.02934065934065934,0.48,23.427582417582418,26.04
23.0,66.25,2020,4.912816326530612,262.34,28.21314285714286,31.29
23.0,66.25,2021,1.2785479452054795,65.17,26.5667397260274,30.27
23.0,66.25,2022,1.8916164383561642,63.96,26.73750684931507,30.08
23.0,66.25,2023,0.02142857142857143,0.41,23.356263736263738,25.98
23.0,66.875,2020,6.249795918367347,428.19,28.203755102040816,31.37
23.0,66.875,2021,1.4138904109589039,63.37,26.5992602739726,30.23
23.0,66.875,2022,2.1810958904109587,64.51,26.69194520547945,30.12
23.0,66.875,2023,0.02967032967032967,0.51,23.24681318681319,25.91
23.0,67.5,2020,5.509755102040817,178.72,28.097591836734694,31.44
23.0,67.5,2021,1.6396164383561644,85.25,26.496547945205478,30.48
23.0,67.5,2022,2.512246575342466,80.74,26.524136986301368,30.14
23.0,67.5,2023,0.041758241758241756,0.88,22.912527472527472,25.78
23.0,68.125,2020,4.836734693877551,128.78,27.93608163265306,31.44
23.0,68.125,2021,1.534986301369863,64.67,26.298794520547943,31.19
23.0,68.125,2022,3.4985753424657533,245.59,26.33780821917808,30.09
23.0,68.125,2023,0.057032967032967036,1.61,22.47241758241758,25.58
23.0,68.75,2020,4.892571428571429,133.16,27.534081632653063,31.63
23.0,68.75,2021,1.582027397260274,64.25,26.213369863013696,32.89
23.0,68.75,2022,3.488931506849315,235.31,26.214904109589042,30.72
23.0,68.75,2023,0.06230769230769231,1.64,22.404065934065933,26.94
23.0,69.375,2020,4.61469387755102,89.89,26.906000000000002,32.04
23.0,69.375,2021,1.7753698630136987,61.72,25.979890410958905,33.83
23.0,69.375,2022,2.798739726027397,111.87,26.006630136986303,32.45
23.0,69.375,2023,0.16945054945054944,5.5,22.448571428571427,28.36
23.0,70.0,2020,4.379551020408163,84.62,27.31044897959184,33.44
23.0,70.0,2021,1.874904109589041,53.1,26.470164383561645,35.26
23.0,70.0,2022,2.1885753424657537,77.18,26.592082191780822,34.06
23.0,70.0,2023,0.27692307692307694,7.91,22.954505494505497,29.23
23.5,60.0,2020,0.07453061224489795,4.22,28.097061224489796,31.6
23.5,60.0,2021,0.09736986301369863,4.3,27.26934246575342,32.36
23.5,60.0,2022,0.22147945205479452,10.6,27.460684931506847,31.74
23.5,60.0,2023,0.22549450549450548,8.73,23.805604395604394,26.55
23.5,60.625,2020,0.11620408163265307,8.88,27.664,30.68
