province,district,tehsil,avg_rainfall,max_rainfall,avg_temperature,max_temperature,max_magnitude,avg_magnitude,earthquake_count
Punjab,DeraGhaziKhan,Muzaffargarh,1.0794066506410256,65.79,25.468285133765043,41.21,4.8,4.8,1.0
Punjab,DeraGhaziKhan,RajanPur,1.465646448463474,86.96,25.427329014429798,39.42,5.2,4.4,5.0
Punjab,Faisalabad,Faisalabad,1.740837838500785,246.61,24.336787292320775,40.98,,,
Punjab,Faisalabad,Jhang,1.5837336145996859,119.17,24.435155849358974,41.17,4.4,4.4,1.0
Punjab,Faisalabad,TobaTekSingh,1.5639297651753008,231.78,24.793126929618005,40.78,,,
Punjab,Gujranwala,Gujarat,3.359436273547881,87.0,22.493897632129773,39.66,,,
Punjab,Gujranwala,Gujranwala1,2.730523122710623,71.95,22.84278208398744,40.41,,,
Punjab,Gujranwala,Hafizabad,2.5858675104657247,67.9,23.00818454016222,40.69,,,
Punjab,Gujranwala,Sialkot,3.3323151327838825,83.8,22.747929683411826,39.72,,,
Punjab,Lahore,Kasur,1.8319982420852956,175.01,24.164305558281004,40.85,,,
Punjab,Lahore,Lahore,2.227138997906855,63.5,23.49568159667713,40.56,,,
Punjab,Lahore,NankanaSahib,2.076854902537938,73.98,23.696069482600734,40.69,,,
Punjab,Lahore,Okara1,1.5992841117216117,280.65,24.75947136643119,41.03,,,
Punjab,Multan,Khanewal,1.205430386577708,193.79,25.243329375981162,40.84,,,
Punjab,Multan,Sahiwal,1.5016238389586603,409.54,25.155527431645737,40.75,,,
Punjab,Multan,Vehari,1.2290079065279957,417.5,25.539150019623232,40.9,4.3,4.3,1.0
Punjab,Rawalpindi,Attok,5.267478888670853,467.12,20.12843740188383,37.75,4.7,4.475,4.0
Punjab,Rawalpindi,Chakwal,4.041416181536717,367.99,20.750714994331066,39.17,,,
Punjab,Rawalpindi,Jhelum,4.1936476975405546,150.05,21.98411576072737,38.2,4.5,4.3,4.0
Punjab,Rawalpindi,Rawalpindi,5.755426788984824,450.57,20.119391826923078,36.26,4.1,3.8499999999999996,2.0
Punjab,Sargodha,Bhakkar,1.5751430370225012,115.79,24.111202680751788,41.23,,,
Punjab,Sargodha,Khushab,2.43135737724577,189.22,22.42740234715681,40.55,,,
Punjab,Sargodha,Mianwali,2.072681253270539,94.82,22.830172259288332,40.37,,,
Punjab,Sargodha,Sargodha,2.538588653410082,159.18,23.123754251700678,41.06,3.4,3.4,1.0
Sindh,Hyderabad,Badin,1.7211886894905486,331.83,26.732097110814824,37.46,,,
Sindh,Hyderabad,Dadu,1.9100868260897614,369.51,26.525264617965206,40.26,4.4,4.35,2.0
Sindh,Hyderabad,Jamshoro,1.5366592051783834,454.21,25.348964497537686,38.86,4.2,4.033333333333333,3.0
Sindh,Hyderabad,TandoM.Khan,1.5723478957441777,427.72,26.801222683383152,38.41,,,
Sindh,Hyderabad,Thatta,1.8720170677333103,351.01,26.147600623284088,35.83,4.9,4.9,1.0
Sindh,Karachi,Karachiwest,1.5985937721769425,112.86,25.474377400486013,33.14,,,
Sindh,Larkana,Jakobabad,1.98797462420163,306.55,26.900614696458142,42.01,,,
Sindh,Larkana,Larkana,1.7921800767725427,252.88,26.75500945140965,41.25,4.0,4.0,1.0
Sindh,Larkana,Shikarpur,2.2800617083503583,436.61,27.0999843444227,40.93,,,
Sindh,MirpurKhas,Mirphurkhas,1.362767591019548,186.81,26.921422103825726,38.36,,,
Sindh,MirpurKhas,Mithi,1.649440589091274,265.84,26.6450266660932,37.94,,,
Sindh,MirpurKhas,Sanghar,1.3006918274158978,260.13,26.94788542898719,39.12,,,
Sindh,MirpurKhas,Umerkot,1.5786329541300188,215.01,26.858124502698868,37.71,,,
Sindh,Sukkur,Ghotki,1.3933728844540978,202.42,26.97795785036881,40.32,,,
Sindh,Sukkur,Khairpur,1.3690597901120405,348.2,26.880705141824905,40.52,,,
Sindh,Sukkur,NaushahroFiroz,1.5310175480097201,326.64,27.139472430700415,40.71,,,
Sindh,Sukkur,NawabShah,1.444657265435152,242.58,26.95339393238855,40.07,,,
Sindh,Sukkur,Sukkur,1.1486002021461903,86.3,26.886661630932664,39.52,,,
