LAT,LON,YEAR,DOY,PRECTOTCORR
23,60,2021,121,0.16
23,60.625,2021,121,0.14
23,61.25,2021,121,0.17
23,61.875,2021,121,0.15
23,62.5,2021,121,0.16
23,63.125,2021,121,0.22
23,63.75,2021,121,0.31
23,64.375,2021,121,0.4
23,65,2021,121,0.45
23,65.625,2021,121,0.56
23,66.25,2021,121,0.65
23,66.875,2021,121,0.67
23,67.5,2021,121,0.6
23,68.125,2021,121,0.09
23,68.75,2021,121,0.08
23,69.375,2021,121,0.01
23,70,2021,121,0
23.5,60,2021,121,0.32
23.5,60.625,2021,121,0.23
23.5,61.25,2021,121,0.23
23.5,61.875,2021,121,0.15
23.5,62.5,2021,121,0.14
23.5,63.125,2021,121,0.22
23.5,63.75,2021,121,0.29
23.5,64.375,2021,121,0.4
23.5,65,2021,121,0.46
23.5,65.625,2021,121,0.55
23.5,66.25,2021,121,0.72
23.5,66.875,2021,121,0.82
23.5,67.5,2021,121,0.86
23.5,68.125,2021,121,0.22
23.5,68.75,2021,121,0.14
23.5,69.375,2021,121,0.08
23.5,70,2021,121,0.04
24,60,2021,121,0.2
24,60.625,2021,121,0.29
24,61.25,2021,121,0.22
24,61.875,2021,121,0.21
24,62.5,2021,121,0.2
24,63.125,2021,121,0.26
24,63.75,2021,121,0.33
24,64.375,2021,121,0.42
24,65,2021,121,0.44
24,65.625,2021,121,0.48
24,66.25,2021,121,0.7
24,66.875,2021,121,0.82
24,67.5,2021,121,0.49
24,68.125,2021,121,0.4
24,68.75,2021,121,0.37
24,69.375,2021,121,0.28
24,70,2021,121,0.14
24.5,60,2021,121,0.09
24.5,60.625,2021,121,0.17
24.5,61.25,2021,121,0.19
24.5,61.875,2021,121,0.26
24.5,62.5,2021,121,0.33
24.5,63.125,2021,121,0.44
24.5,63.75,2021,121,0.35
24.5,64.375,2021,121,0.37
24.5,65,2021,121,0.35
24.5,65.625,2021,121,0.33
24.5,66.25,2021,121,0.51
24.5,66.875,2021,121,0.61
24.5,67.5,2021,121,0.38
24.5,68.125,2021,121,0.61
24.5,68.75,2021,121,0.59
24.5,69.375,2021,121,0.44
24.5,70,2021,121,0.22
25,60,2021,121,0.16
25,60.625,2021,121,0.13
