LAT,LON,YEAR,DOY,PRECTOTCORR
30,65,2020,122,0
30,65.625,2020,122,0
30,66.25,2020,122,0
30,66.875,2020,122,0
30,67.5,2020,122,0
30,68.125,2020,122,0
30,68.75,2020,122,0
30,69.375,2020,122,0
30,70,2020,122,0
30,70.625,2020,122,0
30,71.25,2020,122,0
30,71.875,2020,122,0.02
30,72.5,2020,122,0
30,73.125,2020,122,0.03
30,73.75,2020,122,0
30,74.375,2020,122,0
30,75,2020,122,0
30.5,65,2020,122,0
30.5,65.625,2020,122,0
30.5,66.25,2020,122,0
30.5,66.875,2020,122,0
30.5,67.5,2020,122,0.01
30.5,68.125,2020,122,0.01
30.5,68.75,2020,122,0.01
30.5,69.375,2020,122,0
30.5,70,2020,122,0
30.5,70.625,2020,122,0
30.5,71.25,2020,122,0.01
30.5,71.875,2020,122,0.1
30.5,72.5,2020,122,0.41
30.5,73.125,2020,122,0.2
30.5,73.75,2020,122,0.28
30.5,74.375,2020,122,0
30.5,75,2020,122,0
31,65,2020,122,0
31,65.625,2020,122,0.01
31,66.25,2020,122,0.13
31,66.875,2020,122,0.73
31,67.5,2020,122,1.55
31,68.125,2020,122,1.04
31,68.75,2020,122,1.36
31,69.375,2020,122,0.42
31,70,2020,122,0.06
31,70.625,2020,122,0
31,71.25,2020,122,0.03
31,71.875,2020,122,0.3
31,72.5,2020,122,1.05
31,73.125,2020,122,1.13
31,73.75,2020,122,0.83
31,74.375,2020,122,0.14
31,75,2020,122,0.01
31.5,65,2020,122,0.09
31.5,65.625,2020,122,0.14
31.5,66.25,2020,122,1.14
31.5,66.875,2020,122,4.71
31.5,67.5,2020,122,9.67
31.5,68.125,2020,122,8.33
31.5,68.75,2020,122,10.1
31.5,69.375,2020,122,4.67
31.5,70,2020,122,1.17
31.5,70.625,2020,122,0.1
31.5,71.25,2020,122,0.07
31.5,71.875,2020,122,0.46
31.5,72.5,2020,122,1.36
31.5,73.125,2020,122,2.03
31.5,73.75,2020,122,1.13
31.5,74.375,2020,122,0.24
31.5,75,2020,122,0.04
32,65,2020,122,0.64
32,65.625,2020,122,1.11
32,66.25,2020,122,4.9
32,66.875,2020,122,15.48
32,67.5,2020,122,29.8
32,68.125,2020,122,29.83
32,68.75,2020,122,32.39
32,69.375,2020,122,18.76
32,70,2020,122,6.41
32,70.625,2020,122,1.14
32,71.25,2020,122,0.14
32,71.875,2020,122,0.42
32,72.5,2020,122,1.16
32,73.125,2020,122,1.47
32,73.75,2020,122,0.66
32,74.375,2020,122,0.13
32,75,2020,122,0.08
32.5,65,2020,122,2.64
32.5,65.625,2020,122,4.57
32.5,66.25,2020,122,13.86
32.5,66.875,2020,122,34.98
32.5,67.5,2020,122,59.76
32.5,68.125,2020,122,64.35
