LAT,LON,YEAR,DOY,PRECTOTCORR
30,65,2021,121,0.52
30,65.625,2021,121,0.81
30,66.25,2021,121,0.76
30,66.875,2021,121,0.7
30,67.5,2021,121,1.1
30,68.125,2021,121,0.44
30,68.75,2021,121,1.29
30,69.375,2021,121,0.16
30,70,2021,121,0.04
30,70.625,2021,121,0
30,71.25,2021,121,0.01
30,71.875,2021,121,0.1
30,72.5,2021,121,0.48
30,73.125,2021,121,0.61
30,73.75,2021,121,0.52
30,74.375,2021,121,0.24
30,75,2021,121,0.02
30.5,65,2021,121,0.52
30.5,65.625,2021,121,1.16
30.5,66.25,2021,121,1.19
30.5,66.875,2021,121,1.23
30.5,67.5,2021,121,1.37
30.5,68.125,2021,121,0.77
30.5,68.75,2021,121,1.01
30.5,69.375,2021,121,0.19
30.5,70,2021,121,0.09
30.5,70.625,2021,121,0
30.5,71.25,2021,121,0.01
30.5,71.875,2021,121,0.11
30.5,72.5,2021,121,0.45
30.5,73.125,2021,121,0.66
30.5,73.75,2021,121,0.99
30.5,74.375,2021,121,0.59
30.5,75,2021,121,0.12
31,65,2021,121,0.69
31,65.625,2021,121,1.39
31,66.25,2021,121,1.51
31,66.875,2021,121,1.58
31,67.5,2021,121,1.37
31,68.125,2021,121,0.68
31,68.75,2021,121,0.71
31,69.375,2021,121,0.15
31,70,2021,121,0.04
31,70.625,2021,121,0
31,71.25,2021,121,0
31,71.875,2021,121,0.06
31,72.5,2021,121,0.31
31,73.125,2021,121,0.56
31,73.75,2021,121,0.93
31,74.375,2021,121,0.56
31,75,2021,121,0.21
31.5,65,2021,121,0.49
31.5,65.625,2021,121,1.18
31.5,66.25,2021,121,1.58
31.5,66.875,2021,121,1.6
31.5,67.5,2021,121,1.24
31.5,68.125,2021,121,0.54
31.5,68.75,2021,121,0.5
31.5,69.375,2021,121,0.09
31.5,70,2021,121,0.01
31.5,70.625,2021,121,0
31.5,71.25,2021,121,0
31.5,71.875,2021,121,0.02
31.5,72.5,2021,121,0.11
31.5,73.125,2021,121,0.26
31.5,73.75,2021,121,0.35
31.5,74.375,2021,121,0.25
31.5,75,2021,121,0.1
32,65,2021,121,0.21
32,65.625,2021,121,0.48
32,66.25,2021,121,1
32,66.875,2021,121,1.24
32,67.5,2021,121,0.95
32,68.125,2021,121,0.38
32,68.75,2021,121,0.25
32,69.375,2021,121,0.04
32,70,2021,121,0
32,70.625,2021,121,0
32,71.25,2021,121,0
32,71.875,2021,121,0
32,72.5,2021,121,0.01
32,73.125,2021,121,0.04
32,73.75,2021,121,0.05
32,74.375,2021,121,0.03
32,75,2021,121,0.01
32.5,65,2021,121,0.06
32.5,65.625,2021,121,0.2
32.5,66.25,2021,121,0.48
32.5,66.875,2021,121,0.72
32.5,67.5,2021,121,0.56
32.5,68.125,2021,121,0.19
32.5,68.75,2021,121,0.09
32.5,69.375,2021,121,0.01
32.5,70,2021,121,0
32.5,70.625,2021,121,0
32.5,71.25,2021,121,0
32.5,71.875,2021,121,0
32.5,72.5,2021,121,0
32.5,73.125,2021,121,0
32.5,73.75,2021,121,0.01
32.5,74.375,2021,121,0.02
32.5,75,2021,121,0.01
33,65,2021,121,0.03
33,65.625,2021,121,0.16
33,66.25,2021,121,0.44
33,66.875,2021,121,0.43
33,67.5,2021,121,0.24
33,68.125,2021,121,0.07
33,68.75,2021,121,0.03
33,69.375,2021,121,0
33,70,2021,121,0
33,70.625,2021,121,0
