LAT,LON,YEAR,DOY,PRECTOTCORR
23,60,2022,121,0
23,60.625,2022,121,0
23,61.25,2022,121,0
23,61.875,2022,121,0.01
23,62.5,2022,121,0
23,63.125,2022,121,0
23,63.75,2022,121,0
23,64.375,2022,121,0
23,65,2022,121,0
23,65.625,2022,121,0
23,66.25,2022,121,0
23,66.875,2022,121,0
23,67.5,2022,121,0
23,68.125,2022,121,0
23,68.75,2022,121,0
23,69.375,2022,121,0
23,70,2022,121,0
23.5,60,2022,121,0
23.5,60.625,2022,121,0
23.5,61.25,2022,121,0
23.5,61.875,2022,121,0
23.5,62.5,2022,121,0
23.5,63.125,2022,121,0
23.5,63.75,2022,121,0
23.5,64.375,2022,121,0
23.5,65,2022,121,0
23.5,65.625,2022,121,0
23.5,66.25,2022,121,0
23.5,66.875,2022,121,0
23.5,67.5,2022,121,0
23.5,68.125,2022,121,0
23.5,68.75,2022,121,0
23.5,69.375,2022,121,0
23.5,70,2022,121,0
24,60,2022,121,0
24,60.625,2022,121,0
24,61.25,2022,121,0
24,61.875,2022,121,0
24,62.5,2022,121,0
24,63.125,2022,121,0
24,63.75,2022,121,0
24,64.375,2022,121,0
24,65,2022,121,0
24,65.625,2022,121,0
24,66.25,2022,121,0
24,66.875,2022,121,0
24,67.5,2022,121,0
24,68.125,2022,121,0
24,68.75,2022,121,0
24,69.375,2022,121,0
24,70,2022,121,0
24.5,60,2022,121,0
24.5,60.625,2022,121,0
24.5,61.25,2022,121,0
24.5,61.875,2022,121,0
24.5,62.5,2022,121,0
24.5,63.125,2022,121,0
24.5,63.75,2022,121,0
24.5,64.375,2022,121,0
24.5,65,2022,121,0
24.5,65.625,2022,121,0
24.5,66.25,2022,121,0
24.5,66.875,2022,121,0
24.5,67.5,2022,121,0
24.5,68.125,2022,121,0
24.5,68.75,2022,121,0
24.5,69.375,2022,121,0
24.5,70,2022,121,0
25,60,2022,121,0
25,60.625,2022,121,0
25,61.25,2022,121,0
25,61.875,2022,121,0
25,62.5,2022,121,0
25,63.125,2022,121,0
25,63.75,2022,121,0
25,64.375,2022,121,0
25,65,2022,121,0
25,65.625,2022,121,0
25,66.25,2022,121,0
25,66.875,2022,121,0
25,67.5,2022,121,0
25,68.125,2022,121,0
25,68.75,2022,121,0
25,69.375,2022,121,0
25,70,2022,121,0
25.5,60,2022,121,0
25.5,60.625,2022,121,0
25.5,61.25,2022,121,0
25.5,61.875,2022,121,0
25.5,62.5,2022,121,0
25.5,63.125,2022,121,0
25.5,63.75,2022,121,0
25.5,64.375,2022,121,0
25.5,65,2022,121,0
25.5,65.625,2022,121,0
25.5,66.25,2022,121,0
25.5,66.875,2022,121,0
25.5,67.5,2022,121,0
25.5,68.125,2022,121,0
25.5,68.75,2022,121,0
25.5,69.375,2022,121,0
25.5,70,2022,121,0
26,60,2022,121,0
26,60.625,2022,121,0
26,61.25,2022,121,0
26,61.875,2022,121,0
26,62.5,2022,121,0
26,63.125,2022,121,0
26,63.75,2022,121,0
26,64.375,2022,121,0
26,65,2022,121,0
26,65.625,2022,121,0
26,66.25,2022,121,0
26,66.875,2022,121,0
26,67.5,2022,121,0
26,68.125,2022,121,0
26,68.75,2022,121,0
26,69.375,2022,121,0
26,70,2022,121,0
26.5,60,2022,121,0
26.5,60.625,2022,121,0
26.5,61.25,2022,121,0
26.5,61.875,2022,121,0
26.5,62.5,2022,121,0
26.5,63.125,2022,121,0
26.5,63.75,2022,121,0
26.5,64.375,2022,121,0
26.5,65,2022,121,0
26.5,65.625,2022,121,0
26.5,66.25,2022,121,0
26.5,66.875,2022,121,0
26.5,67.5,2022,121,0
26.5,68.125,2022,121,0
26.5,68.75,2022,121,0
26.5,69.375,2022,121,0
26.5,70,2022,121,0
27,60,2022,121,0
27,60.625,2022,121,0
27,61.25,2022,121,0
27,61.875,2022,121,0
27,62.5,2022,121,0
27,63.125,2022,121,0
27,63.75,2022,121,0
27,64.375,2022,121,0
27,65,2022,121,0
27,65.625,2022,121,0
27,66.25,2022,121,0
27,66.875,2022,121,0
27,67.5,2022,121,0
27,68.125,2022,121,0
27,68.75,2022,121,0
27,69.375,2022,121,0
27,70,2022,121,0
27.5,60,2022,121,0
27.5,60.625,2022,121,0
