LAT,LON,YEAR,DOY,T2M
23,60,2022,121,30.61
23,60.625,2022,121,30.19
23,61.25,2022,121,30.12
23,61.875,2022,121,29.9
23,62.5,2022,121,29.8
23,63.125,2022,121,29.86
23,63.75,2022,121,29.89
23,64.375,2022,121,30.05
23,65,2022,121,29.99
23,65.625,2022,121,29.79
23,66.25,2022,121,29.75
23,66.875,2022,121,29.68
23,67.5,2022,121,29.4
23,68.125,2022,121,29.25
23,68.75,2022,121,29.73
23,69.375,2022,121,31.13
23,70,2022,121,32.32
23.5,60,2022,121,30.29
23.5,60.625,2022,121,30.27
23.5,61.25,2022,121,30.32
23.5,61.875,2022,121,30.09
23.5,62.5,2022,121,29.96
23.5,63.125,2022,121,29.82
23.5,63.75,2022,121,29.9
23.5,64.375,2022,121,29.94
23.5,65,2022,121,29.84
23.5,65.625,2022,121,29.68
23.5,66.25,2022,121,29.56
23.5,66.875,2022,121,29.44
23.5,67.5,2022,121,29.27
23.5,68.125,2022,121,29.45
23.5,68.75,2022,121,31.01
23.5,69.375,2022,121,32.15
23.5,70,2022,121,33.26
24,60,2022,121,30.15
24,60.625,2022,121,30.16
24,61.25,2022,121,30.09
24,61.875,2022,121,29.89
24,62.5,2022,121,29.8
24,63.125,2022,121,29.77
24,63.75,2022,121,29.81
24,64.375,2022,121,29.78
24,65,2022,121,29.67
24,65.625,2022,121,29.47
24,66.25,2022,121,29.32
24,66.875,2022,121,29.15
24,67.5,2022,121,30.33
24,68.125,2022,121,31.71
24,68.75,2022,121,32.71
24,69.375,2022,121,33.23
24,70,2022,121,33.89
24.5,60,2022,121,30.06
24.5,60.625,2022,121,30.03
24.5,61.25,2022,121,29.78
24.5,61.875,2022,121,29.68
24.5,62.5,2022,121,29.76
24.5,63.125,2022,121,29.82
24.5,63.75,2022,121,29.74
24.5,64.375,2022,121,29.48
24.5,65,2022,121,29.44
24.5,65.625,2022,121,29.22
24.5,66.25,2022,121,29.04
24.5,66.875,2022,121,29.24
24.5,67.5,2022,121,31.13
24.5,68.125,2022,121,32.92
24.5,68.75,2022,121,33.76
24.5,69.375,2022,121,34.3
24.5,70,2022,121,34.62
25,60,2022,121,29.99
25,60.625,2022,121,30.42
25,61.25,2022,121,30.87
25,61.875,2022,121,30.84
25,62.5,2022,121,30.17
25,63.125,2022,121,29.15
25,63.75,2022,121,28.89
25,64.375,2022,121,29.32
25,65,2022,121,29.4
25,65.625,2022,121,29.22
25,66.25,2022,121,28.99
25,66.875,2022,121,29.91
25,67.5,2022,121,31.38
25,68.125,2022,121,33.11
25,68.75,2022,121,34.44
25,69.375,2022,121,35.43
25,70,2022,121,35.5
25.5,60,2022,121,32.18
25.5,60.625,2022,121,32.85
25.5,61.25,2022,121,33.67
25.5,61.875,2022,121,34.17
25.5,62.5,2022,121,34.55
25.5,63.125,2022,121,35.13
25.5,63.75,2022,121,34.37
25.5,64.375,2022,121,33.99
25.5,65,2022,121,33.28
25.5,65.625,2022,121,32.33
25.5,66.25,2022,121,31.41
25.5,66.875,2022,121,30.85
25.5,67.5,2022,121,31.8
25.5,68.125,2022,121,34.21
25.5,68.75,2022,121,35.38
25.5,69.375,2022,121,36.28
25.5,70,2022,121,36.4
26,60,2022,121,32.51
26,60.625,2022,121,32.7
26,61.25,2022,121,33.57
26,61.875,2022,121,34.39
26,62.5,2022,121,35.02
26,63.125,2022,121,34.68
26,63.75,2022,121,33.15
26,64.375,2022,121,33.43
26,65,2022,121,34.88
26,65.625,2022,121,35.49
26,66.25,2022,121,35.15
26,66.875,2022,121,33.85
26,67.5,2022,121,34.25
26,68.125,2022,121,37.41
26,68.75,2022,121,37.37
26,69.375,2022,121,36.96
26,70,2022,121,36.92
26.5,60,2022,121,28.15
26.5,60.625,2022,121,28.36
26.5,61.25,2022,121,29.42
26.5,61.875,2022,121,30.83
26.5,62.5,2022,121,31.61
26.5,63.125,2022,121,31.87
26.5,63.75,2022,121,31.82
26.5,64.375,2022,121,30.84
26.5,65,2022,121,32.05
26.5,65.625,2022,121,34.04
26.5,66.25,2022,121,34.12
26.5,66.875,2022,121,34.7
26.5,67.5,2022,121,37.58
26.5,68.125,2022,121,38.62
26.5,68.75,2022,121,38.14
26.5,69.375,2022,121,37.71
26.5,70,2022,121,37.43
27,60,2022,121,30.1
27,60.625,2022,121,29.49
27,61.25,2022,121,26.61
27,61.875,2022,121,27.55
27,62.5,2022,121,29.03
27,63.125,2022,121,30.56
27,63.75,2022,121,30.82
27,64.375,2022,121,29.03
27,65,2022,121,29.01
27,65.625,2022,121,30.75
27,66.25,2022,121,31.32
27,66.875,2022,121,33
27,67.5,2022,121,38.22
27,68.125,2022,121,38.84
27,68.75,2022,121,38.41
27,69.375,2022,121,38.2
27,70,2022,121,37.85
27.5,60,2022,121,29.2
27.5,60.625,2022,121,27.86
27.5,61.25,2022,121,24.91
27.5,61.875,2022,121,26.56
27.5,62.5,2022,121,29.21
27.5,63.125,2022,121,31.58
27.5,63.75,2022,121,32.66
27.5,64.375,2022,121,31.55
27.5,65,2022,121,28.95
27.5,65.625,2022,121,28.48
27.5,66.25,2022,121,29.21
27.5,66.875,2022,121,30.82
27.5,67.5,2022,121,37.84
27.5,68.125,2022,121,38.71
27.5,68.75,2022,121,38.58
27.5,69.375,2022,121,38.33
27.5,70,2022,121,38.08
28,60,2022,121,25.38
28,60.625,2022,121,24.06
28,61.25,2022,121,24.59
28,61.875,2022,121,26.56
28,62.5,2022,121,31.47
28,63.125,2022,121,34.34
28,63.75,2022,121,34.08
28,64.375,2022,121,33.42
28,65,2022,121,32.01
28,65.625,2022,121,29.12
28,66.25,2022,121,27.27
28,66.875,2022,121,29.62
28,67.5,2022,121,37.22
28,68.125,2022,121,38.49
28,68.75,2022,121,39.05
28,69.375,2022,121,39.25
28,70,2022,121,38.66
28.5,60,2022,121,26.39
28.5,60.625,2022,121,22.93
28.5,61.25,2022,121,23.23
28.5,61.875,2022,121,29.87
28.5,62.5,2022,121,33.49
28.5,63.125,2022,121,34.19
28.5,63.75,2022,121,33.25
28.5,64.375,2022,121,31.96
28.5,65,2022,121,31.5
28.5,65.625,2022,121,30.59
28.5,66.25,2022,121,25.18
28.5,66.875,2022,121,27.91
28.5,67.5,2022,121,37.54
28.5,68.125,2022,121,38.34
28.5,68.75,2022,121,39.02
28.5,69.375,2022,121,39.25
28.5,70,2022,121,39.22
29,60,2022,121,26.36
29,60.625,2022,121,21.96
29,61.25,2022,121,26.22
29,61.875,2022,121,31.41
29,62.5,2022,121,31.8
29,63.125,2022,121,31.74
29,63.75,2022,121,31.26
29,64.375,2022,121,32.21
29,65,2022,121,31.86
29,65.625,2022,121,30.56
29,66.25,2022,121,25.27
29,66.875,2022,121,25.4
29,67.5,2022,121,36.71
29,68.125,2022,121,37.75
29,68.75,2022,121,36.6
29,69.375,2022,121,35.89
29,70,2022,121,38.32
29.5,60,2022,121,25.73
29.5,60.625,2022,121,23.62
29.5,61.25,2022,121,29.03
29.5,61.875,2022,121,33.65
29.5,62.5,2022,121,32.14
29.5,63.125,2022,121,29.87
29.5,63.75,2022,121,28.27
29.5,64.375,2022,121,29.09
29.5,65,2022,121,31.37
29.5,65.625,2022,121,30.19
29.5,66.25,2022,121,26.99
29.5,66.875,2022,121,24.97
29.5,67.5,2022,121,34.91
29.5,68.125,2022,121,36.61
29.5,68.75,2022,121,33.14
29.5,69.375,2022,121,33.16
29.5,70,2022,121,36.62
30,60,2022,121,25.48
30,60.625,2022,121,27.19
